table,strategy,confidence,score,rows,watermark_column,primary_keys,timestamp_columns,implementation_notes
piezas_ent_pro,FULL_REPLACE,HIGH,5,3,,"cc_cod_pie, ic_cod_pro, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
piezas_lin,FULL_REPLACE,HIGH,5,58,,"cc_cod_pie, ic_cod_ofi, ic_linea",,Full table replacement recommended. Simple and reliable approach
pro,FULL_REPLACE,HIGH,15,52,,ic_cod_pro,,Full table replacement recommended. Simple and reliable approach
programacion,INCREMENTAL_PREFERRED,HIGH,90,5630,fecha,"ic_cod_pro, ic_cod_ofi","fecha, fecha1, fecha2, fecha_prevista_entrada, fecha_prevista_salida",Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
prueba,FULL_REPLACE,HIGH,15,0,,cc_code,,Full table replacement recommended. Simple and reliable approach
ra_definicion,INCREMENTAL_POSSIBLE,MEDIUM,40,93,,id,,Incremental loading possible but may require custom logic or composite keys
rea,FULL_REPLACE,HIGH,5,1043,,"ic_ano, ic_cod_rea, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
rem_lin_his,INCREMENTAL_CHALLENGING,MEDIUM,25,0,,"ic_cod_cli, fc_fecha",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
rem_lin_his_,INCREMENTAL_CHALLENGING,MEDIUM,25,0,,"ic_cod_cli, fc_fecha",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
rem_lineas,FULL_REPLACE,HIGH,5,42450,,"ic_ano, ic_cod_rem, ic_cod_ofi, ic_vto_ano, ic_vto_cod, ic_vto_ofi",,Full table replacement recommended. Simple and reliable approach
rem_lineas_,FULL_REPLACE,HIGH,5,5831,,"ic_ano, ic_cod_rem, ic_vto_ano, ic_vto_cod, ic_vto_ofi, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
remesas,FULL_REPLACE,HIGH,5,9031,,"ic_ano, ic_cod_rem, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
remesas_,FULL_REPLACE,HIGH,5,305,,"ic_ano, ic_cod_rem, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
repair_history,INCREMENTAL_POSSIBLE,MEDIUM,60,154,,ic_code,,Incremental loading possible but may require custom logic or composite keys
repair_history_lin,INCREMENTAL_CHALLENGING,MEDIUM,25,1159,,"ic_code, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
seg_accesos,FULL_REPLACE,HIGH,5,137631,,"ic_cod_ofi, ic_cod_usu, ic_linea, f_fecha",,Full table replacement recommended. Simple and reliable approach
seg_accesos_fichar,FULL_REPLACE,HIGH,5,185,,"ic_cod_ofi, ic_cod_usu, ic_linea, f_fecha",,Full table replacement recommended. Simple and reliable approach
seg_accesos_planificador,FULL_REPLACE,HIGH,5,9452,,"ic_cod_ofi, ic_cod_usu, ic_linea, f_fecha",,Full table replacement recommended. Simple and reliable approach
seg_accesos_tareas,FULL_REPLACE,HIGH,5,6626,,"ic_cod_ofi, ic_cod_usu, ic_linea, f_fecha",,Full table replacement recommended. Simple and reliable approach
seg_acciones,FULL_REPLACE,HIGH,15,11,,ic_code,,Full table replacement recommended. Simple and reliable approach
seg_com_fam,FULL_REPLACE,HIGH,15,14,,ic_cod_fam,,Full table replacement recommended. Simple and reliable approach
seg_com_gru,FULL_REPLACE,HIGH,5,230,,"ic_cod_com, ic_cod_gru",,Full table replacement recommended. Simple and reliable approach
seg_comandos,FULL_REPLACE,HIGH,15,69,,ic_cod_com,,Full table replacement recommended. Simple and reliable approach
seg_grupos,FULL_REPLACE,HIGH,15,7,,ic_cod_gru,,Full table replacement recommended. Simple and reliable approach
seg_modulos,FULL_REPLACE,HIGH,15,14,,ic_code,,Full table replacement recommended. Simple and reliable approach
seg_ofi_tip,FULL_REPLACE,HIGH,15,1,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
seg_oficina,FULL_REPLACE,HIGH,15,4,,ic_cod_ofi,,Full table replacement recommended. Simple and reliable approach
seg_token,INCREMENTAL_PREFERRED,HIGH,100,3135,f_fecha_in,ic_codigo,"f_fecha_in, f_fecha_expired",Implement incremental loading using 'f_fecha_in' as watermark column. Query: SELECT * FROM table WHERE f_fecha_in > last_run_timestamp
seg_usu_permisos,FULL_REPLACE,HIGH,5,1741,,"ic_tipo, ic_cod_usu, ic_cod_ofi, ic_code",,Full table replacement recommended. Simple and reliable approach
seg_usuarios,FULL_REPLACE,HIGH,5,176,,"ic_cod_usu, i_cod_ofi",,Full table replacement recommended. Simple and reliable approach
seg_usuarios_ausencias,INCREMENTAL_POSSIBLE,MEDIUM,65,7,fecha,"ic_code, ic_cod_usu, ic_cod_ofi","fecha, fecha1, fecha2",Incremental loading feasible with 'fecha'. Consider data volume and update patterns to decide vs full replace
seg_usuarios_ausencias_tipos,FULL_REPLACE,HIGH,0,2,,ic_cod_tip,,Full table replacement recommended. Simple and reliable approach
seg_usuarios_horarios,INCREMENTAL_POSSIBLE,MEDIUM,65,32724,fecha,"ic_code, ic_cod_usu, ic_cod_ofi","fecha, fechaini1, fechafin1, fechaini2, fechafin2",Incremental loading feasible with 'fecha'. Consider data volume and update patterns to decide vs full replace
soap_price_list,INCREMENTAL_PREFERRED,HIGH,75,440657,f_fecha,cc_MaterialNo,f_fecha,Implement incremental loading using 'f_fecha' as watermark column. Query: SELECT * FROM table WHERE f_fecha > last_run_timestamp
soap_price_list_versiones,INCREMENTAL_PREFERRED,HIGH,100,12,f_fecha,id,f_fecha,Implement incremental loading using 'f_fecha' as watermark column. Query: SELECT * FROM table WHERE f_fecha > last_run_timestamp
soap_service,FULL_REPLACE,HIGH,5,55,,"ic_cod_ofi, cc_field",,Full table replacement recommended. Simple and reliable approach
tareas,INCREMENTAL_POSSIBLE,MEDIUM,65,22879,fecha,"ic_cod_tar, ic_cod_ofi, ic_linea","fecha, f_fec_ini, f_fec_fin, f_fec_cierre",Incremental loading feasible with 'fecha'. Consider data volume and update patterns to decide vs full replace
tareas_estados,FULL_REPLACE,HIGH,0,3,,ic_cod_est,,Full table replacement recommended. Simple and reliable approach
tareas_tipos,INCREMENTAL_CHALLENGING,MEDIUM,25,49,,ic_cod_tar,,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
tareas_tipos_lineas,FULL_REPLACE,HIGH,15,6,,"ic_cod_tar, ic_linea",,Full table replacement recommended. Simple and reliable approach
token_byVIN,INCREMENTAL_PREFERRED,HIGH,90,761,fecha,"ic_codigo, ic_tipo, cc_bastidor",fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
tramos_margen,FULL_REPLACE,HIGH,15,5,,ic_cod_tra,,Full table replacement recommended. Simple and reliable approach
veh_tip_con,INCREMENTAL_POSSIBLE,MEDIUM,40,4,,ic_cod_tip,,Incremental loading possible but may require custom logic or composite keys
vehiculos,INCREMENTAL_POSSIBLE,MEDIUM,65,13969,f_last_leido,"cc_cod_mat, ic_cod_cli, ic_cod_ofi",f_last_leido,Incremental loading feasible with 'f_last_leido'. Consider data volume and update patterns to decide vs full replace
vista_movimientos_historicos,INCREMENTAL_PREFERRED,HIGH,75,165018,fecha,,fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
vto_cli,FULL_REPLACE,HIGH,5,50270,,"ic_ano, ic_cod_vto, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
vto_cli_fac,INCREMENTAL_CHALLENGING,MEDIUM,20,68190,,"ic_vto_ano, ic_vto_cod, ic_vto_ofi, ic_fac_ano, ic_fac_ofi, ic_fac_let, ic_fac_cod",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
vto_cli_his,INCREMENTAL_CHALLENGING,MEDIUM,25,819,,"ic_ano, ic_cod_vto, ic_cod_ofi, ic_linea",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
vto_cli_his_agru,INCREMENTAL_PREFERRED,HIGH,85,11995,fecha,"ic_ano, ic_cod_vto, ic_cod_ofi, ic_fac_ano, ic_fac_cod, ic_fac_let, ic_fac_ofi, f_fecha, f_fec_ini",fecha,Implement incremental loading using 'fecha' as watermark column. Query: SELECT * FROM table WHERE fecha > last_run_timestamp
vto_pro,FULL_REPLACE,HIGH,5,16461,,"ic_ano, ic_cod_vto, ic_cod_ofi",,Full table replacement recommended. Simple and reliable approach
vto_pro_fac,INCREMENTAL_CHALLENGING,MEDIUM,20,25530,,"ic_vto_ano, ic_vto_cod, ic_vto_ofi, ic_fac_ano, ic_fac_ofi, ic_fac_let, ic_fac_cod",,Incremental loading technically possible but may be complex. Consider full replace unless table is very large
